batch_idx,t_mono,n_in_batch,n_real,n_active,active_mask,timeout_us,mux_batch,compute_ms,e2e_ms,total_dets,new_ids_cum,dets_cam0,dets_cam1,dets_cam2,dets_cam3,drops_cum,arrivals_cum
0,1.6760,1,1,4,1111,1000,4,1180.460,1180.540,0,0,0,0,0,0,0,64
1,1.6766,1,1,4,1111,1000,4,1175.302,1176.952,0,0,0,0,0,0,0,64
2,1.6767,1,1,4,1111,1000,4,1143.746,1144.948,0,0,0,0,0,0,0,64
3,1.6768,1,1,4,1111,1000,4,1111.812,1113.047,0,0,0,0,0,0,0,64
4,1.6768,1,1,4,1111,1000,4,1079.921,1081.089,0,0,0,0,0,0,0,64
5,1.6769,1,1,4,1111,1000,4,1047.971,1049.133,0,0,0,0,0,0,0,64
6,1.6770,1,1,4,1111,1000,4,1016.025,1017.192,0,0,0,0,0,0,0,64
7,1.6772,1,1,4,1111,1000,4,951.261,985.366,0,0,0,0,0,0,0,65
8,1.6773,1,1,4,1111,1000,4,949.226,953.436,0,0,0,0,0,0,0,65
9,1.6773,1,1,4,1111,1000,4,920.284,921.484,0,0,0,0,0,0,0,65
10,1.6774,1,1,4,1111,1000,4,888.377,889.546,0,0,0,0,0,0,0,65
11,1.6775,1,1,4,1111,1000,4,856.421,857.604,0,0,0,0,0,0,0,65
12,1.6775,1,1,4,1111,1000,4,824.481,825.654,0,0,0,0,0,0,0,65
13,1.6776,2,2,4,1111,1000,4,790.454,802.878,0,0,0,0,0,0,0,65
14,1.6777,1,1,4,1111,1000,4,769.573,770.914,0,0,0,0,0,0,0,65
15,1.6778,1,1,4,1111,1000,4,760.640,761.828,0,0,0,0,0,0,0,65
16,1.6778,1,1,4,1111,1000,4,737.767,738.975,0,0,0,0,0,0,0,65
17,1.6779,1,1,4,1111,1000,4,728.757,729.938,0,0,0,0,0,0,0,65
18,1.6780,1,1,4,1111,1000,4,705.937,707.094,0,0,0,0,0,0,0,65
19,1.6780,2,2,4,1111,1000,4,650.663,675.124,0,0,0,0,0,0,0,65
20,1.6781,1,1,4,1111,1000,4,641.999,643.144,0,0,0,0,0,0,0,65
21,1.6782,1,1,4,1111,1000,4,619.447,634.160,0,0,0,0,0,0,0,65
22,1.6782,1,1,4,1111,1000,4,606.363,611.249,0,0,0,0,0,0,0,65
23,1.6783,1,1,4,1111,1000,4,579.814,602.250,0,0,0,0,0,0,0,65
24,1.6784,2,2,4,1111,1000,4,550.869,579.354,1,1,0,0,0,1,0,65
25,1.6785,2,2,4,1111,1000,4,520.073,547.415,1,1,0,0,0,1,0,65
26,1.6786,1,1,4,1111,1000,4,426.836,451.364,1,1,0,0,0,1,0,65
27,1.6786,1,1,4,1111,1000,4,423.913,426.992,0,1,0,0,0,0,0,65
28,1.6787,1,1,4,1111,1000,4,417.323,419.487,1,1,0,0,0,1,0,65
29,1.6788,1,1,4,1111,1000,4,388.898,410.640,0,1,0,0,0,0,0,65
30,1.6789,2,2,4,1111,1000,4,360.290,387.615,1,1,0,0,0,1,0,65
31,1.6790,1,1,4,1111,1000,4,285.949,291.573,1,1,0,0,0,1,0,65
32,1.6790,1,1,4,1111,1000,4,258.386,259.588,1,1,0,0,0,1,0,65
33,1.6793,1,1,4,1111,1000,4,235.757,236.942,0,1,0,0,0,0,0,65
34,1.6794,1,1,4,1111,1000,4,226.697,227.889,1,1,0,0,0,1,0,65
35,1.6794,1,1,4,1111,1000,4,203.900,205.085,0,1,0,0,0,0,0,65
36,1.6795,2,2,4,1111,1000,4,148.565,173.147,1,1,0,0,0,1,0,65
37,1.7597,1,1,4,1111,1000,4,220.077,221.259,0,1,0,0,0,0,0,77
38,1.7714,2,2,4,1111,1000,4,155.724,168.911,1,1,0,0,0,1,0,81
39,1.7829,1,1,4,1111,1000,4,147.289,148.395,0,1,0,0,0,0,0,83
40,1.7845,1,1,4,1111,1000,4,139.600,140.767,1,1,0,0,0,1,0,83
41,1.7890,1,1,4,1111,1000,4,121.264,122.428,0,1,0,0,0,0,0,83
42,1.9407,1,1,4,1111,1000,4,263.612,264.872,1,1,0,0,0,1,0,98
43,1.9437,1,1,4,1111,1000,4,243.971,245.156,0,1,0,0,0,0,0,98
44,1.9490,2,2,4,1111,1000,4,189.060,218.438,1,1,0,0,0,1,0,98
45,1.9503,1,1,4,1111,1000,4,186.287,187.655,0,1,0,0,0,0,0,98
46,1.9524,1,1,4,1111,1000,4,179.254,180.503,1,1,0,0,0,1,0,98
47,1.9642,3,3,4,1111,1000,4,159.021,183.720,1,1,0,0,0,1,0,100
48,1.9786,2,2,4,1111,1000,4,144.383,166.083,0,1,0,0,0,0,0,101
49,2.0900,2,2,4,1111,1000,4,233.369,254.032,1,1,0,0,0,1,0,113
50,2.1054,3,3,4,1111,1000,4,163.783,196.817,1,1,0,0,0,1,0,114
51,2.1080,1,1,4,1111,1000,4,163.753,167.461,0,1,0,0,0,0,0,115
52,2.1095,1,1,4,1111,1000,4,153.328,154.578,0,1,0,0,0,0,0,115
53,2.1121,1,1,4,1111,1000,4,146.046,147.880,1,1,0,0,0,1,0,115
54,2.2220,2,2,4,1111,1000,4,225.582,249.397,0,1,0,0,0,0,0,129
55,2.2382,4,4,4,1111,1000,4,207.671,242.015,1,1,0,0,0,1,0,131
56,2.2412,3,3,4,1111,1000,4,152.955,172.501,0,1,0,0,0,0,0,131
57,2.2439,1,1,4,1111,1000,4,142.049,143.210,0,1,0,0,0,0,0,132
58,2.2514,1,1,4,1111,1000,4,144.322,145.540,0,1,0,0,0,0,0,132
59,2.2589,1,1,4,1111,1000,4,138.755,143.884,0,1,0,0,0,0,0,133
60,2.3870,3,3,4,1111,1000,4,243.249,262.598,1,1,0,0,0,1,0,145
61,2.3905,2,2,4,1111,1000,4,170.485,188.746,0,1,0,0,0,0,0,146
62,2.3939,2,2,4,1111,1000,4,171.570,173.874,1,1,0,0,0,1,0,146
63,2.4103,2,2,4,1111,1000,4,179.665,189.788,1,1,0,0,0,1,0,148
64,2.4131,2,2,4,1111,1000,4,161.179,179.278,0,1,0,0,0,0,0,149
65,2.4202,3,3,4,1111,1000,4,145.270,167.685,1,1,0,0,0,1,0,149
66,2.5455,3,3,4,1111,1000,4,249.130,270.368,1,1,0,0,0,1,0,165
67,2.5479,1,1,4,1111,1000,4,178.479,199.224,1,1,0,0,0,1,0,165
68,2.5490,1,1,4,1111,1000,4,177.658,179.632,0,1,0,0,0,0,0,166
69,2.5595,2,2,4,1111,1000,4,173.625,188.220,1,1,0,0,0,1,0,167
70,2.5683,2,2,4,1111,1000,4,166.310,179.356,0,1,0,0,0,0,0,168
71,2.5733,3,3,4,1111,1000,4,147.402,170.057,1,1,0,0,0,1,0,169
72,2.5942,3,3,4,1111,1000,4,144.057,168.175,1,1,0,0,0,1,0,171
73,2.5995,4,4,4,1111,1000,4,93.971,122.675,2,2,0,0,1,1,0,172
74,2.6896,1,1,4,1111,1000,4,178.854,180.734,1,2,0,0,0,1,0,183
75,2.7328,4,4,4,1111,1000,4,187.017,215.818,2,2,0,0,1,1,0,188
76,2.7339,1,1,4,1111,1000,4,183.651,184.871,0,2,0,0,0,0,0,189
77,2.7352,1,1,4,1111,1000,4,175.500,181.142,1,2,0,0,1,0,0,189
78,2.7543,4,4,4,1111,1000,4,165.844,190.879,1,2,0,0,0,1,0,191
79,2.7671,2,2,4,1111,1000,4,154.332,171.592,1,2,0,0,0,1,0,193
80,2.7784,3,3,4,1111,1000,4,144.873,165.415,0,2,0,0,0,0,0,195
81,2.8055,4,4,4,1111,1000,4,115.305,145.915,2,3,1,0,0,1,0,198
82,2.8072,1,1,4,1111,1000,4,112.690,115.582,0,3,0,0,0,0,0,198
83,2.9315,4,4,4,1111,1000,4,201.985,230.381,3,3,1,0,1,1,0,213
84,2.9329,1,1,4,1111,1000,4,198.385,199.715,1,3,0,0,0,1,0,213
85,2.9359,1,1,4,1111,1000,4,191.078,194.789,1,3,1,0,0,0,0,214
86,2.9533,3,3,4,1111,1000,4,186.049,207.068,1,3,0,0,0,1,0,216
87,2.9596,4,4,4,1111,1000,4,157.946,186.501,3,3,1,0,1,1,0,217
88,2.9644,2,2,4,1111,1000,4,144.790,159.211,1,3,1,0,0,0,0,217
89,3.0843,3,3,4,1111,1000,4,243.609,264.553,2,3,1,0,0,1,0,232
90,3.0876,3,3,4,1111,1000,4,187.671,218.390,2,3,1,0,0,1,0,233
91,3.0894,1,1,4,1111,1000,4,188.142,189.605,0,3,0,0,0,0,0,233
92,3.1087,4,4,4,1111,1000,4,178.854,207.497,3,3,1,0,1,1,0,236
93,3.1111,2,2,4,1111,1000,4,162.571,177.859,1,3,1,0,0,0,0,236
94,3.1249,4,4,4,1111,1000,4,153.063,177.040,3,3,1,0,1,1,0,237
95,3.1363,4,4,4,1111,1000,4,127.173,156.379,2,3,1,0,0,1,0,238
96,3.2538,3,3,4,1111,1000,4,174.785,209.824,2,3,1,0,0,1,0,252
97,3.2628,2,2,4,1111,1000,4,182.469,186.843,0,3,0,0,0,0,0,253
98,3.2647,1,1,4,1111,1000,4,177.930,179.091,1,3,0,0,0,1,0,253
99,3.2694,2,2,4,1111,1000,4,167.564,176.057,2,3,1,0,1,0,0,254
100,3.2821,2,2,4,1111,1000,4,157.125,174.070,1,3,0,0,0,1,0,255
101,3.2856,2,2,4,1111,1000,4,136.164,154.986,0,3,0,0,0,0,0,256
102,3.4160,3,3,4,1111,1000,4,231.144,266.195,1,3,0,0,0,1,0,272
103,3.4217,4,4,4,1111,1000,4,176.688,207.846,4,4,1,1,1,1,0,273
104,3.4240,1,1,4,1111,1000,4,175.732,178.160,1,4,0,0,0,1,0,273
105,3.4343,1,1,4,1111,1000,4,179.391,180.807,1,4,1,0,0,0,0,274
106,3.4399,2,2,4,1111,1000,4,161.469,181.172,1,4,0,1,0,0,0,275
107,3.4445,3,3,4,1111,1000,4,144.195,166.607,2,4,1,0,0,1,0,275
108,3.6313,3,3,4,1111,1000,4,309.457,331.103,3,4,1,1,0,1,0,297
109,3.6409,3,3,4,1111,1000,4,231.355,259.352,2,4,1,1,0,0,0,298
110,3.6431,1,1,4,1111,1000,4,230.468,233.741,1,4,0,0,0,1,0,299
111,3.6444,1,1,4,1111,1000,4,228.356,230.812,1,4,1,0,0,0,0,299
112,3.6544,2,2,4,1111,1000,4,220.267,235.515,1,4,0,1,0,0,0,300
113,3.6645,3,3,4,1111,1000,4,208.244,226.411,2,4,1,0,0,1,0,301
114,3.6673,2,2,4,1111,1000,4,188.107,206.901,2,4,1,1,0,0,0,301
115,3.6771,2,2,4,1111,1000,4,176.849,194.131,1,4,0,1,0,0,0,303
116,3.6895,4,4,4,1111,1000,4,132.434,165.009,3,4,1,1,0,1,0,304
117,3.6917,1,1,4,1111,1000,4,129.818,135.177,1,4,0,1,0,0,0,304
118,3.8069,1,1,4,1111,1000,4,237.767,240.591,1,4,0,0,0,1,0,315
119,3.8243,4,4,4,1111,1000,4,192.738,225.987,4,5,1,1,1,1,0,317
120,3.8255,1,1,4,1111,1000,4,192.904,195.142,1,5,0,0,0,1,0,317
121,3.8338,3,3,4,1111,1000,4,179.187,196.152,1,5,0,1,0,0,0,318
122,3.8742,3,3,4,1111,1000,4,196.611,211.812,2,5,0,0,1,1,0,323
123,3.8865,2,2,4,1111,1000,4,185.843,201.885,2,5,0,1,0,1,0,324
124,3.8945,2,2,4,1111,1000,4,171.066,192.783,1,5,0,0,1,0,0,326
125,3.9259,2,2,4,1111,1000,4,179.060,199.328,1,5,0,0,0,1,0,329
126,3.9340,4,4,4,1111,1000,4,126.523,153.258,2,5,0,1,0,1,0,331
127,3.9357,1,1,4,1111,1000,4,119.307,122.934,1,5,0,1,0,0,0,331
128,4.0471,1,1,4,1111,1000,4,223.281,224.446,1,5,0,0,0,1,0,345
129,4.0651,4,4,4,1111,1000,4,194.333,220.306,3,5,1,1,0,1,0,347
130,4.0661,1,1,4,1111,1000,4,187.994,189.231,1,5,0,1,0,0,0,347
131,4.0685,1,1,4,1111,1000,4,180.029,181.783,1,5,0,0,0,1,0,347
132,4.0876,4,4,4,1111,1000,4,161.567,193.736,3,5,1,1,0,1,0,350
133,4.0931,4,4,4,1111,1000,4,140.442,167.121,3,5,1,1,0,1,0,351
134,4.2052,3,3,4,1111,1000,4,225.363,247.317,2,5,1,1,0,0,0,364
135,4.2124,4,4,4,1111,1000,4,164.318,197.455,3,5,1,1,0,1,0,365
136,4.2254,2,2,4,1111,1000,4,168.885,178.518,2,5,1,0,0,1,0,367
137,4.2276,1,1,4,1111,1000,4,166.969,168.151,0,5,0,0,0,0,0,367
138,4.2311,2,2,4,1111,1000,4,150.725,162.114,2,5,0,1,0,1,0,368
139,4.2427,3,3,4,1111,1000,4,138.351,156.742,2,5,1,1,0,0,0,369
140,4.2521,3,3,4,1111,1000,4,126.321,141.091,2,5,1,0,0,1,0,371
141,4.4098,3,3,4,1111,1000,4,217.256,244.634,2,5,1,0,0,1,0,390
142,4.4247,2,2,4,1111,1000,4,219.963,232.279,0,5,0,0,0,0,0,392
143,4.4257,1,1,4,1111,1000,4,217.370,218.533,1,5,0,0,0,1,0,392
144,4.4296,2,2,4,1111,1000,4,208.749,215.511,2,5,1,0,1,0,0,392
145,4.4403,2,2,4,1111,1000,4,197.176,211.155,1,5,0,0,0,1,0,394
146,4.4499,3,3,4,1111,1000,4,183.316,203.803,1,5,0,0,1,0,0,395
147,4.4628,3,3,4,1111,1000,4,173.604,191.409,2,5,1,0,0,1,0,396
148,4.4718,3,3,4,1111,1000,4,160.661,178.571,1,5,0,0,0,1,0,398
149,4.4857,4,4,4,1111,1000,4,107.987,137.963,3,6,1,1,0,1,0,400
150,4.4929,1,1,4,1111,1000,4,111.859,113.093,0,6,0,0,0,0,0,400
151,4.6148,3,3,4,1111,1000,4,207.112,225.481,3,6,1,1,0,1,0,414
152,4.6220,1,1,4,1111,1000,4,203.963,210.208,0,6,0,0,0,0,0,414
153,4.6266,3,3,4,1111,1000,4,186.115,205.258,3,6,1,1,0,1,0,415
154,4.6317,2,2,4,1111,1000,4,168.226,187.923,1,6,0,1,0,0,0,416
155,4.6446,3,3,4,1111,1000,4,158.501,181.113,2,6,1,0,0,1,0,417
156,4.6506,4,4,4,1111,1000,4,141.276,165.132,3,6,1,1,0,1,0,418
157,4.7573,2,2,4,1111,1000,4,224.568,239.886,2,6,0,1,0,1,0,431
158,4.8196,4,4,4,1111,1000,4,215.137,247.630,2,6,1,0,0,1,0,439
159,4.8217,1,1,4,1111,1000,4,212.568,217.772,0,6,0,0,0,0,0,439
160,4.8229,1,1,4,1111,1000,4,208.147,209.362,0,6,0,0,0,0,0,440
161,4.8294,3,3,4,1111,1000,4,189.930,205.711,2,6,1,0,0,1,0,441
162,4.8440,2,2,4,1111,1000,4,181.909,198.408,1,6,0,0,0,1,0,442
163,4.8486,3,3,4,1111,1000,4,165.582,186.261,0,6,0,0,0,0,0,443
164,4.8918,4,4,4,1111,1000,4,141.407,172.000,2,6,1,0,0,1,0,447
165,4.8935,1,1,4,1111,1000,4,140.449,141.638,1,6,0,0,0,1,0,448
166,4.8947,1,1,4,1111,1000,4,135.013,136.211,1,6,1,0,0,0,0,448
167,5.0461,2,2,4,1111,1000,4,262.076,281.980,0,6,0,0,0,0,0,465
168,5.0691,4,4,4,1111,1000,4,249.259,278.609,2,6,1,0,0,1,0,468
169,5.1104,2,2,4,1111,1000,4,272.650,287.915,1,6,1,0,0,0,0,473
170,5.1141,3,3,4,1111,1000,4,223.016,253.874,1,6,1,0,0,0,0,474
171,5.1231,1,1,4,1111,1000,4,229.469,230.722,0,6,0,0,0,0,0,475
172,5.1252,1,1,4,1111,1000,4,218.109,223.318,1,6,0,1,0,0,0,475
173,5.1329,3,3,4,1111,1000,4,192.682,214.370,2,6,1,1,0,0,0,475
174,5.1464,4,4,4,1111,1000,4,168.571,202.207,2,6,1,0,0,1,0,477
175,5.1563,4,4,4,1111,1000,4,111.618,141.685,3,6,1,1,0,1,0,477
176,5.1589,1,1,4,1111,1000,4,110.854,112.247,0,6,0,0,0,0,0,477
177,5.2541,1,1,4,1111,1000,4,200.457,201.757,0,6,0,0,0,0,0,487
178,5.2719,4,4,4,1111,1000,4,161.258,193.260,2,6,0,1,0,1,0,490
179,5.2729,1,1,4,1111,1000,4,159.936,162.265,0,6,0,0,0,0,0,490
180,5.2755,1,1,4,1111,1000,4,151.262,159.028,0,6,0,0,0,0,0,490
181,5.2796,2,2,4,1111,1000,4,132.195,143.199,1,6,0,0,0,1,0,491
182,5.3660,1,1,4,1111,1000,4,194.482,197.569,1,6,0,0,0,1,0,501
183,5.3757,2,2,4,1111,1000,4,182.629,201.006,1,6,0,1,0,0,0,503
184,5.3867,4,4,4,1111,1000,4,132.128,164.551,3,6,1,1,0,1,0,504
185,5.3885,1,1,4,1111,1000,4,125.034,134.264,1,6,0,1,0,0,0,504
186,5.3998,1,1,4,1111,1000,4,134.059,135.231,1,6,0,0,0,1,0,506
187,5.4255,2,2,4,1111,1000,4,138.490,154.763,0,6,0,0,0,0,0,509
188,5.4376,4,4,4,1111,1000,4,127.167,151.295,3,6,1,1,0,1,0,511
189,5.6513,4,4,4,1111,1000,4,284.520,316.552,3,6,1,1,0,1,0,537
190,5.6536,2,2,4,1111,1000,4,277.998,286.790,1,6,1,0,0,0,0,537
191,5.6567,1,1,4,1111,1000,4,273.212,274.384,1,6,0,1,0,0,0,538
192,5.6741,4,4,4,1111,1000,4,257.188,281.335,3,6,1,1,0,1,0,540
193,5.6754,1,1,4,1111,1000,4,249.205,250.646,1,6,0,0,0,1,0,540
194,5.6802,3,3,4,1111,1000,4,232.046,249.334,2,6,1,1,0,0,0,540
195,5.7189,3,3,4,1111,1000,4,246.397,262.061,2,6,1,0,0,1,0,545
196,5.7213,2,2,4,1111,1000,4,226.307,242.811,2,6,0,1,0,1,0,546
197,5.7299,4,4,4,1111,1000,4,179.524,209.049,3,7,0,2,0,1,0,547
198,5.7673,1,1,4,1111,1000,4,212.245,214.395,1,7,0,0,0,1,0,552
199,5.8077,4,4,4,1111,1000,4,191.017,222.707,2,7,0,1,0,1,0,556
200,5.8105,1,1,4,1111,1000,4,191.651,193.460,1,7,0,0,0,1,0,557
201,5.8272,4,4,4,1111,1000,4,175.726,204.174,2,7,0,1,0,1,0,559
202,5.8283,1,1,4,1111,1000,4,172.113,173.318,0,7,0,0,0,0,0,559
203,5.8296,1,1,4,1111,1000,4,159.958,168.718,0,7,0,0,0,0,0,559
204,5.8453,4,4,4,1111,1000,4,129.333,164.238,2,7,0,1,0,1,0,561
205,5.8498,1,1,4,1111,1000,4,130.359,136.645,1,7,0,0,0,1,0,562
206,5.9824,4,4,4,1111,1000,4,214.709,247.674,2,7,0,1,0,1,0,577
207,5.9854,1,1,4,1111,1000,4,215.531,218.588,2,7,0,2,0,0,0,577
208,6.0196,3,3,4,1111,1000,4,222.668,242.324,2,7,1,0,0,1,0,581
209,6.0380,3,3,4,1111,1000,4,216.484,239.231,4,7,1,2,0,1,0,583
210,6.0483,3,3,4,1111,1000,4,202.325,227.222,3,7,0,2,0,1,0,585
211,6.0532,3,3,4,1111,1000,4,185.559,206.102,3,7,1,2,0,0,0,585
212,6.0734,3,3,4,1111,1000,4,184.951,199.981,2,7,1,0,0,1,0,588
213,6.0776,3,3,4,1111,1000,4,103.963,128.423,3,7,0,2,0,1,0,589
214,6.1675,1,1,4,1111,1000,4,184.879,186.137,0,7,0,0,0,0,0,600
215,6.1764,1,1,4,1111,1000,4,184.234,185.417,2,7,0,2,0,0,0,601
216,6.1855,3,3,4,1111,1000,4,166.906,183.964,2,7,1,0,0,1,0,602
217,6.1891,2,2,4,1111,1000,4,150.535,166.080,3,7,0,2,0,1,0,602
218,6.2146,3,3,4,1111,1000,4,148.808,175.381,2,7,0,2,0,0,0,605
219,6.2614,4,4,4,1111,1000,4,171.477,195.681,2,7,0,1,0,1,0,611
220,6.2774,4,4,4,1111,1000,4,109.186,142.090,3,8,0,1,1,1,0,613
221,6.2806,2,2,4,1111,1000,4,103.312,113.248,1,8,0,0,1,0,0,614
222,6.2830,1,1,4,1111,1000,4,98.658,99.821,1,8,0,1,0,0,0,614
223,6.4006,1,1,4,1111,1000,4,205.659,206.818,1,8,0,0,0,1,0,627
224,6.4400,2,2,4,1111,1000,4,226.890,240.650,2,9,0,0,2,0,0,632
225,6.4452,4,4,4,1111,1000,4,186.052,219.403,4,9,0,1,2,1,0,632
226,6.4545,1,1,4,1111,1000,4,192.587,196.633,1,9,0,0,0,1,0,633
227,6.4609,2,2,4,1111,1000,4,186.898,197.492,2,9,0,0,2,0,0,634
228,6.4633,1,1,4,1111,1000,4,167.882,183.972,1,9,0,1,0,0,0,635
229,6.4679,3,3,4,1111,1000,4,151.231,172.422,3,9,0,1,2,0,0,635
230,6.4800,2,2,4,1111,1000,4,139.960,152.547,2,9,0,0,2,0,0,636
231,6.4886,4,4,4,1111,1000,4,87.396,113.192,3,9,0,1,1,1,0,638
232,6.5808,1,1,4,1111,1000,4,172.087,173.322,1,9,0,1,0,0,0,646
233,6.6169,3,3,4,1111,1000,4,176.687,198.801,2,9,0,0,1,1,0,650
234,6.6243,1,1,4,1111,1000,4,182.492,184.834,1,9,0,1,0,0,0,651
235,6.6256,1,1,4,1111,1000,4,169.973,175.510,1,9,0,0,0,1,0,651
236,6.6326,3,3,4,1111,1000,4,152.388,177.036,1,9,0,1,0,0,0,652
237,6.6474,3,3,4,1111,1000,4,143.751,165.244,1,9,0,0,0,1,0,653
238,6.6520,3,3,4,1111,1000,4,126.163,148.515,1,9,0,0,0,1,0,654
239,6.7842,2,2,4,1111,1000,4,202.569,232.613,1,9,0,0,0,1,0,671
240,6.8120,1,1,4,1111,1000,4,222.168,228.426,0,9,0,0,0,0,0,674
241,6.8134,1,1,4,1111,1000,4,212.604,213.755,0,9,0,0,0,0,0,674
242,6.8184,2,2,4,1111,1000,4,201.377,208.032,0,9,0,0,0,0,0,675
243,6.8340,2,2,4,1111,1000,4,192.115,212.207,1,10,0,1,0,0,0,676
244,6.8378,3,3,4,1111,1000,4,175.520,195.395,0,10,0,0,0,0,0,677
245,6.8501,3,3,4,1111,1000,4,163.362,186.396,1,10,0,1,0,0,0,679
246,6.8596,3,3,4,1111,1000,4,151.473,173.731,2,10,0,1,1,0,0,680
247,6.9999,4,4,4,1111,1000,4,221.746,256.162,1,10,0,1,0,0,0,698
248,7.0071,1,1,4,1111,1000,4,225.315,231.345,0,10,0,0,0,0,0,699
249,7.0480,4,4,4,1111,1000,4,234.899,266.058,2,10,0,1,1,0,0,703
250,7.0593,2,2,4,1111,1000,4,231.631,245.288,2,10,0,1,1,0,0,705
251,7.0686,3,3,4,1111,1000,4,218.032,233.957,1,10,0,0,1,0,0,706
252,7.0744,3,3,4,1111,1000,4,201.372,218.495,1,10,0,1,0,0,0,707
253,7.0854,2,2,4,1111,1000,4,187.859,207.331,1,10,0,1,0,0,0,708
254,7.0933,4,4,4,1111,1000,4,119.033,151.267,2,10,0,1,0,1,0,709
255,7.1915,1,1,4,1111,1000,4,213.078,217.359,2,10,0,0,2,0,0,721
256,7.2082,1,1,4,1111,1000,4,215.262,224.159,1,10,0,1,0,0,0,723
257,7.2498,4,4,4,1111,1000,4,218.567,249.828,3,10,0,1,1,1,0,728
258,7.2558,3,3,4,1111,1000,4,197.636,223.835,2,10,0,1,1,0,0,729
259,7.2699,4,4,4,1111,1000,4,185.727,210.924,4,10,0,1,2,1,0,731
260,7.2757,3,3,4,1111,1000,4,167.815,184.703,2,10,0,0,2,0,0,732
261,7.2803,3,3,4,1111,1000,4,150.988,168.102,1,10,0,1,0,0,0,732
262,7.3864,4,4,4,1111,1000,4,194.233,226.412,4,10,0,1,2,1,0,744
263,7.3876,1,1,4,1111,1000,4,193.967,195.625,0,10,0,0,0,0,0,744
264,7.3905,1,1,4,1111,1000,4,182.169,192.243,2,10,0,0,2,0,0,744
265,7.4094,4,4,4,1111,1000,4,164.441,190.169,2,10,0,1,1,0,0,746
266,7.4139,3,3,4,1111,1000,4,145.295,162.656,3,10,0,0,2,1,0,747
267,7.4254,3,3,4,1111,1000,4,135.021,153.125,1,10,0,1,0,0,0,749
268,7.4344,2,2,4,1111,1000,4,120.124,139.998,3,10,0,1,2,0,0,750
269,7.5408,3,3,4,1111,1000,4,170.611,204.418,4,10,0,1,2,1,0,763
270,7.5480,1,1,4,1111,1000,4,174.708,179.604,1,10,0,1,0,0,0,764
271,7.5493,1,1,4,1111,1000,4,168.730,169.908,0,10,0,0,0,0,0,764
272,7.5529,2,2,4,1111,1000,4,150.854,162.346,2,10,0,1,1,0,0,765
273,7.5709,3,3,4,1111,1000,4,144.605,159.440,0,10,0,0,0,0,0,766
274,7.5752,3,3,4,1111,1000,4,123.014,142.696,3,10,0,2,0,1,0,767
275,7.6866,2,2,4,1111,1000,4,210.535,232.113,1,10,0,1,0,0,0,781
276,7.6916,4,4,4,1111,1000,4,159.948,195.106,3,10,0,2,1,0,0,782
277,7.6929,1,1,4,1111,1000,4,157.683,164.337,1,10,0,1,0,0,0,782
278,7.6957,1,1,4,1111,1000,4,154.975,156.113,0,10,0,0,0,0,0,782
279,7.7111,3,3,4,1111,1000,4,147.259,166.814,3,10,0,1,2,0,0,784
280,7.7156,3,3,4,1111,1000,4,127.043,143.940,0,10,0,0,0,0,0,784
281,7.8316,2,2,4,1111,1000,4,222.680,238.903,1,10,0,1,0,0,0,797
282,7.9545,4,4,4,1111,1000,4,274.518,307.835,2,10,0,1,1,0,0,811
283,7.9559,1,1,4,1111,1000,4,273.709,277.119,1,10,0,0,1,0,0,811
284,7.9571,1,1,4,1111,1000,4,267.136,268.363,1,10,0,1,0,0,0,812
285,7.9594,1,1,4,1111,1000,4,253.825,255.039,0,10,0,0,0,0,0,812
286,7.9673,2,2,4,1111,1000,4,240.331,256.464,2,10,0,1,1,0,0,813
287,7.9784,2,2,4,1111,1000,4,228.170,242.016,1,10,0,0,1,0,0,813
288,7.9829,3,3,4,1111,1000,4,211.224,230.044,1,10,0,1,0,0,0,813
289,8.0150,4,4,4,1111,1000,4,186.847,219.077,2,10,0,1,1,0,0,816
290,8.0171,1,1,4,1111,1000,4,184.965,189.102,0,10,0,0,0,0,0,816
291,8.0240,4,4,4,1111,1000,4,121.260,153.087,2,10,0,1,1,0,0,817
292,8.0322,1,1,4,1111,1000,4,127.311,128.841,1,10,0,0,1,0,0,819
293,8.0396,1,1,4,1111,1000,4,117.163,126.627,1,10,0,1,0,0,0,819
294,8.1386,1,1,4,1111,1000,4,213.227,214.444,1,10,0,0,0,1,0,832
295,8.1480,2,2,4,1111,1000,4,197.506,219.518,1,10,0,0,1,0,0,832
296,8.1550,2,2,4,1111,1000,4,180.047,198.881,1,10,0,0,0,1,0,834
297,8.1599,3,3,4,1111,1000,4,144.576,171.605,2,10,0,1,0,1,0,835
298,8.1714,3,3,4,1111,1000,4,138.484,151.188,2,10,0,0,1,1,0,836
299,8.2193,3,3,4,1111,1000,4,161.150,178.203,1,10,0,1,0,0,0,842
